IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,195136,2020-03-13T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,195137,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,195138,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,195139,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,195140,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,1,195141,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A60-A79,W,3,0,195142,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A80+,M,1,0,195143,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,unbekannt,W,1,0,195144,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,195145,2020-03-18T00:00:00.000Z,01004,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,195146,2020-03-23T00:00:00.000Z,01004,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Neumünster,A15-A34,W,1,0,195147,2020-03-20T00:00:00.000Z,01004,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Neumünster,A35-A59,M,2,0,195148,2020-03-18T00:00:00.000Z,01004,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,195149,2020-03-16T00:00:00.000Z,01004,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,195150,2020-03-18T00:00:00.000Z,01004,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,195151,2020-03-23T00:00:00.000Z,01004,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Neumünster,A60-A79,W,1,0,195152,2020-03-20T00:00:00.000Z,01004,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Neumünster,A80+,W,1,0,195153,2020-03-23T00:00:00.000Z,01004,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,195154,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,195155,2020-03-05T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,195156,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,195157,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,195158,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,195159,2020-03-20T00:00:00.000Z,01051,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,195160,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,195161,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,195162,2020-03-19T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,195163,2020-03-20T00:00:00.000Z,01051,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,195164,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,195165,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,195166,2020-03-20T00:00:00.000Z,01051,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Dithmarschen,A80+,M,1,0,195167,2020-03-23T00:00:00.000Z,01051,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A00-A04,M,2,0,195168,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A05-A14,M,1,0,195169,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,195170,2020-03-11T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,195171,2020-03-18T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,195172,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,195173,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00,1,0
